ScientificName,ScientificName_Short_Form,CommonName,CommonName_Capitalized,Trophic_Code,Trophic_Full,Trophic_Level_Primary,Trophic_Level_Secondary,Broad_Trophic_Level,Targeted,Legal_Size_cm
Sphyraena argentea,S. argentea,california barracuda,california barracuda,Pi,Piscivore,piscovore,,piscivore,Targeted,70
Squatina californica,S. californica,pacific angel shark,pacific angel shark,Pi,Piscivore,piscivore,,piscivore,Targeted,
Sarda chiliensis,S. chiliensis,eastern pacific bonito,eastern pacific bonito,Pi,Piscivore,piscivore,,piscivore,Targeted,60
Scomber japonicus,S. japonicus,"pacific mackerel, greenback mackerel","pacific mackerel, greenback mackerel",Pi,Piscivore,piscivore,,piscivore,Targeted,
Seriola lalandi,S. lalandi,yellowtail,yellowtail,Pi,Piscivore,piscivore,,piscivore,Targeted,60
Sebastes paucispinis,S. paucispinis,bocaccio,bocaccio,Pi,Piscivore,piscivore,,piscivore,Targeted,
Torpedo californica,T. californica,pacific electric ray,pacific electric ray,Pi,Piscivore,piscivore,,piscivore,Non-targeted,
Sebastes mystinus,S. mystinus,blue rockfish,blue rockfish,Pi/Zp,Piscivore + Zooplanktivore,planktivore,piscivore,planktivore,Targeted,
Trachurus symmetricus,T. symmetricus,jack mackerel,jack mackerel,Pi/Zp,Piscivore + Zooplanktivore,planktivore,piscivore,planktivore,Non-targeted,
Atherinops affinis,A. affinis,topsmelt,topsmelt,Zp,Zooplanktivore,planktivore,,planktivore,Non-targeted,
Atherinopsis californiensis,A. californiensis,Jacksmelt,Jacksmelt,Zp,Zooplanktivore,planktivore,,planktivore,Non-targeted,
Aulorhynchus flavidus,A. flavidus,tubesnout,tubesnout,Zp,Zooplanktivore,planktivore,,planktivore,Non-targeted,
Atherinidae spp.,A. spp.,"grunion, topsmelt or jacksmelt","grunion, topsmelt or jacksmelt",Zp,Zooplanktivore,planktivore,,planktivore,Non-targeted,
Clupeidae spp.,C. spp.,anchovy/sardine,anchovy/sardine,Zp,Zooplanktivore,planktivore,,planktivore,Targeted,
Chromis punctipinnis,C. punctipinnis,blacksmith,blacksmith,Zp,Zooplanktivore,planktivore,,planktivore,Non-targeted,
Engraulis mordax,E. mordax,northern anchovy,northern anchovy,Zp,Zooplanktivore,planktivore,,carnivore,Targeted,
Lythrypnus dalli,L. dalli,bluebanded goby,bluebanded goby,Zp,Zooplanktivore,planktivore,,planktivore,Non-targeted,
Phanerodon atripes,P. atripes,sharpnose surfperch,sharpnose surfperch,Zp,Zooplanktivore,planktivore,,planktivore,Non-targeted,
Ronquilus jordani,R. jordani,northern ronquil,northern ronquil,Zp,Zooplanktivore,planktivore,,planktivore,Non-targeted,
Sebastes entomelas,S. entomelas,widow rockfish,widow rockfish,Zp,Zooplanktivore,planktivore,,planktivore,Targeted,
Sardinops sagax,S. sagax,pacific sardine,pacific sardine,Zp,Zooplanktivore,planktivore,,planktivore,Targeted,
Syngnathus spp.,Syngnathus spp.,pipefish,pipefish,Zp,Zooplanktivore,planktivore,,planktivore,Non-targeted,
Semicossyphus pulcher,S. pulcher,"California sheephead, female","California sheephead, female",Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Targeted,30
Semicossyphus pulcher,S. pulcher,"California sheephead, male","California sheephead, male",Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Targeted,30
Halichoeres semicinctus,H. semicinctus,"rock wrasse, female","rock wrasse, female",Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Halichoeres semicinctus,H. semicinctus,"rock wrasse, male","rock wrasse, male",Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
