ScientificName,CommonName,Independent_variable,Range,a,b,LW_Equation,r2,p,N,RMSE,Smearing_estimate,Source
$Pachycerianthus\text{ }fimbriatus$,NA,disc diameter,$14 to 37$,$0.11$,$1.597$,$W_{g}=0.11*L^1.597$,$0.9$,$<.001$,$15$,$0.132$,$1.01$,Reed 2016
$Paracyathus\text{ }stearnsii$,NA,percent cover,$5 to 100$,$NA$,$0.545$,$W_{g}=C*0.545$,$0.99$,$<.001$,$28$,$NA$,$NA$,Reed 2016
$Phyllactis\text{ }spp.$,NA,disc diameter,$6 to 15$,$0.006$,$1.799$,$W_{g}=0.006*L^1.799$,$0.46$,$<.001$,$25$,$0.4115$,$1.1$,Reed 2016
$Plumularia\text{ }sp.$,NA,percent cover,$5 to 100$,$NA$,$0.012$,$W_{g}=C*0.012$,$0.95$,$<.001$,$14$,$NA$,$NA$,Reed 2016
$Urticina\text{ }lofotensis$,white-spotted rose anemone,disc diameter,$40 to 186$,$0.39$,$1.04$,$W_{g}=0.39*L^1.04$,$0.74$,$0.001$,$10$,$0.273$,$1.04$,Reed 2016
$Cirriformia\text{ }luxuriosa$,NA,percent cover,$5 to 90$,$NA$,$0.195$,$W_{g}=C*0.195$,$0.99$,$<.001$,$15$,$NA$,$NA$,Reed 2016
$Dodecaceria\text{ }fewkesi$,NA,percent cover,$5 to 100$,$NA$,$0.322$,$W_{g}=C*0.322$,$0.7$,$<.001$,$21$,$NA$,$NA$,Reed 2016
$Eudistylia\text{ }polymorpha$,NA,body diameter,$3 to 20$,$0.23$,$1.426$,$W_{g}=0.23*(L*2)^1.426$,$0.34$,$0.007$,$20$,$0.5313$,$1.15$,Reed 2016
$Phragmatopoma\text{ }californica$,colonial sand-tube worm,percent cover,$5 to 100$,$NA$,$0.014$,$W_{g}=C*0.014$,$0.72$,$<.001$,$22$,$NA$,$NA$,Reed 2016
$Salmacina\text{ }tribranchiata$,NA,percent cover,$5 to 100$,$NA$,$2.307$,$W_{g}=C*2.307$,$0.96$,$<.001$,$30$,$NA$,$NA$,Reed 2016
$Aplysia\text{ }californica$,California brown sea hare,retracted length,$70 to 280$,$0.19$,$1.575$,$W_{g}=0.19*L^1.575$,$0.51$,$<.001$,$30$,$0.5659$,$1.16$,Reed 2016
$Calliostoma\text{ }tricolor$,NA,shell length,$12 to 20$,$0.00013$,$3.36$,$W_{g}=0.00013*L^3.36$,$0.99$,$<.001$,$6$,$0.0459$,$1$,Reed 2016
$Chaceia\text{ }ovoidea$,NA,siphon diameter,$16 to 35$,$5.9$,$1.058$,$W_{g}=5.9*L^1.058$,$0.99$,$<.001$,$6$,$0.0256$,$1$,Reed 2016
$Conus\text{ }californicus$,NA,shell length,$8 to 20$,$0.00075$,$2.578$,$W_{g}=0.00075*L^2.578$,$0.97$,$<.001$,$80$,$0.1225$,$1.01$,Reed 2016
$Crassedoma\text{ }giganteum$,rock scallop,shell length,$68 to 190$,$0.00096$,$2.733$,$W_{g}=0.00096*L^2.733$,$0.85$,$<.001$,$15$,$0.3917$,$1.08$,Reed 2016
$Cypraea\text{ }spadicea$,chestnut cowrie,shell length,$33 to 50$,$0.006$,$2.114$,$W_{g}=0.006*L^2.114$,$0.76$,$<.001$,$27$,$0.1104$,$1.01$,Reed 2016
$Doriopsilla\text{ }albopunctata$,NA,retracted length,$14 -112$,$0.00013$,$2.801$,$W_{g}=0.00013*L^2.801$,$0.97$,$<.001$,$14$,$0.3618$,$1.07$,Reed 2016
$Haliotis\text{ }rufescens$,red abalone,shell length,$30 to 171$,$0.00042$,$2.797$,$W_{g}=0.00042*L^2.797$,$0.95$,$<.001$,$25$,$0.2401$,$1.03$,Reed 2016
$Haliotis\text{ }rufescens$,"red abalone,  aquacultured",shell length,$30 to 171$,$0.00042$,$2.797$,$W_{g}=0.00042*L^2.797$,$0.95$,$<.001$,$25$,$0.2401$,$1.03$,Reed 2016
$Kelletia\text{ }kelletii$,Kellet's whelk,shell length,$14 to 135$,$0.00015$,$2.932$,$W_{g}=0.00015*L^2.932$,$0.99$,$<.001$,$49$,$0.1455$,$1.01$,Reed 2016
$Lithophaga\text{ }plumula$,NA,siphon diameter,$1 to 5$,$0.89$,$1.031$,$W_{g}=0.89*L^1.031$,$0.33$,$0.004$,$23$,$0.7054$,$1.25$,Reed 2016
$Lithopoma\text{ }gibberosa$,red turban snail,shell length,$19 to 127$,$0.00065$,$2.823$,$W_{g}=0.00065*L^2.823$,$0.97$,$<.001$,$97$,$0.2954$,$1.05$,Reed 2016
$Megathura\text{ }crenulata$,giant keyhole limpet,body length,$79 to 126$,$0.025$,$1.932$,$W_{g}=0.025*L^1.932$,$0.76$,$<.001$,$26$,$0.1439$,$1.01$,Reed 2016
$Mitra\text{ }idae$,NA,shell length,$9 to 65$,$0.00097$,$2.377$,$W_{g}=0.00097*L^2.377$,$0.99$,$<.001$,$34$,$0.1196$,$1.01$,Reed 2016
$Mytilus\text{ }californianus$,NA,shell length,$31 to 143$,$0.002$,$2.078$,$W_{g}=0.002*L^2.078$,$0.61$,$<.001$,$19$,$0.6731$,$1.26$,Reed 2016
$Mytilus\text{ }galloprovincialis$,NA,shell length,$26 to 86$,$1.2e-05$,$3.382$,$W_{g}=1.2e-05*L^3.382$,$0.7$,$<.001$,$20$,$0.6494$,$1.22$,Reed 2016
$Norrisia\text{ }norrisi$,NA,shell length,$21 to 67$,$0.001$,$2.676$,$W_{g}=0.001*L^2.676$,$0.82$,$<.001$,$33$,$0.3269$,$1.06$,Reed 2016
$Octopus\text{ }bimaculoides$,NA,arm length,$150 to 450$,$0.023$,$1.631$,$W_{g}=0.023*L^1.631$,$0.83$,$<.001$,$10$,$0.2592$,$1.03$,Reed 2016
$Parapholas\text{ }californica$,NA,siphon diameter,$0.9 to 19$,$4.4$,$0.919$,$W_{g}=4.4*L^0.919$,$0.51$,$<.001$,$38$,$0.8697$,$1.34$,Reed 2016
$Peltodoris\text{ }nobilis$,NA,retracted length,$24 to 74$,$0.002$,$2.267$,$W_{g}=0.002*L^2.267$,$0.6$,$<.001$,$24$,$0.6023$,$1.17$,Reed 2016
$Pteropurpura\text{ }trialata$,NA,shell length,$15 to 40$,$0.00082$,$2.366$,$W_{g}=0.00082*L^2.366$,$0.94$,$<.001$,$10$,$0.199$,$1.02$,Reed 2016
$Serpulorbis\text{ }squamiger$,NA,percent cover,$5 to 100$,$NA$,$0.571$,$W_{g}=C*0.571$,$0.91$,$<.001$,$25$,$NA$,$NA$,Reed 2016
$Tegula\text{ }brunnea$,NA,shell length,$10 to 35$,$0.004$,$2.365$,$W_{g}=0.004*L^2.365$,$0.72$,$<.001$,$39$,$0.4584$,$1.12$,Reed 2016
$Balanus\text{ }glandula$,NA,percent cover,$5 to 100$,$NA$,$0.685$,$W_{g}=C*0.685$,$0.8$,$<.001$,$30$,$NA$,$NA$,Reed 2016
$Loxorhynchus\text{ }grandis\text{ }carapace$,NA,diameter,$77 to 270$,$0.08$,$1.973$,$W_{g}=0.08*L^1.973$,$0.76$,$<.001$,$11$,$0.4751$,$1.12$,Reed 2016
$Panulirus\text{ }interruptus$,California spiny lobster,carapace length,$33 to 157$,$0.001$,$2.914$,$W_{g}=0.001*L^2.914$,$0.97$,$<.001$,$207$,$0.0782$,$1$,Reed 2016
$Pugettia\text{ }producta\text{ }carapace$,NA,diameter,$13 to 104$,$0.001$,$2.51$,$W_{g}=0.001*L^2.51$,$0.95$,$<.001$,$13$,$0.3445$,$1.06$,Reed 2016
$Bugula\text{ }californica$,NA,percent cover,$5 to 100$,$NA$,$0.392$,$W_{g}=C*0.392$,$0.99$,$<.001$,$27$,$NA$,$NA$,Reed 2016
$Bugula\text{ }neritina$,NA,percent cover,$5 to 100$,$NA$,$0.189$,$W_{g}=C*0.189$,$0.82$,$<.001$,$40$,$NA$,$NA$,Reed 2016
$Cellaria\text{ }sp.$,NA,percent cover,$5 to 100$,$NA$,$0.164$,$W_{g}=C*0.164$,$0.95$,$<.001$,$27$,$NA$,$NA$,Reed 2016
$Diaperoecia\text{ }californica$,Southern staghorn bryozoan,percent cover,$5 to 100$,$NA$,$0.893$,$W_{g}=C*0.893$,$0.96$,$<.001$,$29$,$NA$,$NA$,Reed 2016
$Thalamoporella\text{ }californica$,NA,percent cover,$5 to 100$,$NA$,$0.594$,$W_{g}=C*0.594$,$0.95$,$<.001$,$30$,$NA$,$NA$,Reed 2016
$Cucumaria\text{ }piperata$,NA,retracted length,$13 to 77$,$0.001$,$2.18$,$W_{g}=0.001*L^2.18$,$0.87$,$<.001$,$49$,$0.3412$,$1.06$,Reed 2016
$Cucumaria\text{ }salma$,NA,tentacle diameter,$12 to 55$,$0.36$,$1.017$,$W_{g}=0.36*L^1.017$,$0.9$,$<.001$,$15$,$0.1555$,$1.01$,Reed 2016
$Dermasterias\text{ }imbricata$,NA,body diameter,$40 to 370$,$7.7$,$0.701$,$W_{g}=7.7*(L*2)^0.701$,$0.67$,$<.001$,$28$,$0.3194$,$1.05$,Reed 2016
$Eupentacta\text{ }quinquesemita$,NA,retracted length,$27 to 100$,$0.00078$,$2.235$,$W_{g}=0.00078*L^2.235$,$0.8$,$<.001$,$36$,$0.4085$,$1.14$,Reed 2016
$Lissothuria\text{ }nutriens$,NA,retracted length,$8 to 14$,$0.002$,$2.196$,$W_{g}=0.002*L^2.196$,$0.6$,$0.001$,$14$,$0.3014$,$1.05$,Reed 2016
$Lytechinus\text{ }anamesus$,white sea urchin,test diameter,$10 to 27$,$0.00032$,$3.044$,$W_{g}=0.00032*L^3.044$,$0.9$,$<.001$,$14$,$0.2783$,$1.04$,Reed 2016
$Ophioplocus\text{ }esmarki$,NA,disc diameter,$11 to 24$,$0.004$,$2.253$,$W_{g}=0.004*L^2.253$,$0.94$,$<.001$,$58$,$0.1023$,$1.01$,Reed 2016
$Ophiothrix\text{ }spiculata$,spiny brittle star,disc diameter,$4 to 15$,$0.005$,$2.318$,$W_{g}=0.005*L^2.318$,$0.91$,$<.001$,$42$,$0.1971$,$1.02$,Reed 2016
$Pachythyone\text{ }rubra$,aggregated red sea cucumber,retracted length,$5 to 24$,$0.00082$,$2.136$,$W_{g}=0.00082*L^2.136$,$0.82$,$<.001$,$49$,$0.313$,$1.05$,Reed 2016
$Parastichopus\text{ }californicus$,NA,retracted length,$41 to 215$,$0.082$,$1.539$,$W_{g}=0.082*L^1.539$,$0.3$,$0.003$,$26$,$0.7747$,$1.28$,Reed 2016
$Parastichopus\text{ }parvimensis$,warty sea cucumber,retracted length,$70 to 240$,$0.009$,$2.123$,$W_{g}=0.009*L^2.123$,$0.85$,$<.001$,$47$,$0.2977$,$1.04$,Reed 2016
$Patiria\text{ }miniata$,bat star,body diameter,$32 to 210$,$0.00014$,$2.712$,$W_{g}=0.00014*(L*2)^2.712$,$0.98$,$<.001$,$51$,$0.1284$,$1.01$,Reed 2016
$Pisaster\text{ }brevispinus$,NA,body diameter,$144 to 534$,$0.002$,$2.147$,$W_{g}=0.002*(L*2)^2.147$,$0.8$,$<.001$,$20$,$0.3178$,$1.06$,Reed 2016
$Pisaster\text{ }giganteus$,giant-spined sea star,body diameter,$17 to 290$,$0.01$,$1.773$,$W_{g}=0.01*(L*2)^1.773$,$0.95$,$<.001$,$37$,$0.1809$,$1.02$,Reed 2016
$Pisaster\text{ }ochraceus$,ochre sea star,body diameter,$206 to 326$,$0.00022$,$2.592$,$W_{g}=0.00022*(L*2)^2.592$,$0.8$,$<.001$,$12$,$0.1917$,$1.02$,Reed 2016
$Pycnopodia\text{ }helianthoides$,sunflower star,body diameter,$104 to 545$,$3.7e-05$,$2.97$,$W_{g}=3.7e-05*(L*2)^2.97$,$0.9$,$<.001$,$14$,$0.5218$,$1.14$,Reed 2016
$Strongylocentrotus\text{ }franciscanus$,red sea urchin,test diameter,$28 to 85$,$0.00059$,$2.917$,$W_{g}=0.00059*L^2.917$,$0.94$,$<.001$,$35$,$0.194$,$1.02$,Reed 2016
$Strongylocentrotus\text{ }purpuratus$,purple sea urchin,test diameter,$19 to 74$,$0.00059$,$2.87$,$W_{g}=0.00059*L^2.87$,$0.99$,$<.001$,$21$,$0.112$,$1.04$,Reed 2016
$Archidistoma\text{ }psammion$,NA,percent cover,$5 to 100$,$NA$,$1.37$,$W_{g}=C*1.37$,$0.95$,$<.001$,$37$,$NA$,$NA$,Reed 2016
$Chelyosoma\text{ }productum$,NA,percent cover,$5 to 100$,$NA$,$0.718$,$W_{g}=C*0.718$,$0.99$,$<.001$,$20$,$NA$,$NA$,Reed 2016
$Clavelina\text{ }huntsmani$,NA,percent cover,$10 to 100$,$NA$,$0.379$,$W_{g}=C*0.379$,$0.93$,$<.001$,$30$,$NA$,$NA$,Reed 2016
$Cystodytes\text{ }lobatus$,NA,percent cover,$5 to 100$,$NA$,$0.922$,$W_{g}=C*0.922$,$0.9$,$<.001$,$9$,$NA$,$NA$,Reed 2016
$Euherdmania\text{ }claviformis$,NA,percent cover,$5 to 95$,$NA$,$0.792$,$W_{g}=C*0.792$,$0.98$,$<.001$,$18$,$NA$,$NA$,Reed 2016
$Polyclinum\text{ }planum$,NA,body length,$21 to 210$,$0.002$,$2.224$,$W_{g}=0.002*L^2.224$,$0.92$,$<.001$,$14$,$0.4496$,$1.1$,Reed 2016
$Pycnoclavella\text{ }stanleyi$,NA,percent cover,$5 to 95$,$NA$,$0.449$,$W_{g}=C*0.449$,$0.96$,$<.001$,$28$,$NA$,$NA$,Reed 2016
$Ritterella\text{ }aequalisiphonis$,NA,percent cover,$5 to 75$,$NA$,$1.423$,$W_{g}=C*1.423$,$0.98$,$<.001$,$11$,$NA$,$NA$,Reed 2016
$Styela\text{ }montereyensis$,stalked tunicate,siphon diameter,$4 to 25$,$0.029$,$2.211$,$W_{g}=0.029*L^2.211$,$0.85$,$<.001$,$61$,$0.3846$,$1.09$,Reed 2016
$Trididemnun\text{ }opacum$,NA,percent cover,$5 to 65$,$NA$,$0.423$,$W_{g}=C*0.423$,$0.95$,$<.001$,$22$,$NA$,$NA$,Reed 2016
$Megastraea\text{ }undosa$,wavy turban snail,shell length,$NA$,$0.00065$,$2.823$,$W_{g}=0.00065*L^2.823$,$NA$,$NA$,$NA$,$NA$,$NA$,See L. Gibberosa
$Tegula\text{ }regina$,queen tegula,shell length,$NA$,$0.00065$,$2.823$,$W_{g}=0.00065*L^2.823$,$NA$,$NA$,$NA$,$NA$,$NA$,See L. Gibberosa
$Macrocystis\text{ }pyrifera$,giant kelp,stipe density,$NA$,$NA$,$0.008477333$,$W_{g}=SD*0.008477333*1000$,$NA$,$NA$,$NA$,$NA$,$NA$,Rassweiler 2018
